form	volume	scan	headword_ocr	printed
ACENTEEIN	bsb11762465	249	Boren .	ακεντέειν
ACEPHA	bsb11762465	784	Klok .	ἀκέφα
ACEPHALO	bsb11762465	785	Kl	ἀκέφαλο
ACEPHI	bsb11762465	569	Gesund machen .	ἀκέφι
ACERA	bsb11762465	920	Neenatel .	ἀκέρα
ACERAIO	bsb11762465	543	Geleutert Gold .	ἀκέραιο
ACERAIOS	bsb10314207	98	Aduerbialiter .	ἀκεραίως
ACERAIOTES	bsb10314207	98	Inbetriegligkeit .	ἀκεραιότης
ACERAIOU	bsb11762465	363	Einfeltig .	ἀκέραιου
ACERAIU	bsb11762465	363	Einfeltig .	ἀκέραιου
ACERATOSIS	bsb11762465	805	zug .	ἀκεράτωσις
ACERCHORDON	bsb10314207	160	Warke .	ἀκερχορδών
ACERUEIN	bsb10314207	124	Vn	ἀκηρύειν
ACERUTOS	bsb10314207	138	Vnwandelbar .	ἀκήρυτος
ACERYEIN	bsb10314207	124	Vn	ἀκηρύειν
ACERYTOS	bsb10314207	138	Vnwandelbar .	ἀκήρυτος
ACESES	bsb11762465	920	Neer / Schneider .	ἀκέσης
ACESION	bsb11762465	434	Fall / Zufellig ding .	ἀκέσιον
ACESIOS	bsb10314207	113	Vngern .	ἀκέσιος
ACESIS	bsb11762465	113	Frkney .	ἄκεσις
ACESMA	bsb11762465	834	Lehr .	ἄκεσμα
ACESMATON	bsb11762465	513	Ga	ἀκεσμάτων
ACESTE	bsb11762465	227	Audire deprecantem .	ἀκέστη
ACESTOR	bsb11762465	114	Arkt .	ἀκέστωρ
ACETES	bsb11762465	114	Arkt .	ἀκετὴς
ACGON	bsb11762465	374	Cubitus , & cubitum , vlna ,	ἀκγών
ACHALINON	bsb10314207	74	Ve	ἀχάλινον
ACHALINOTOS	bsb10314207	137	Mensch .	ἀχαλίνωτος
ACHARIEIAN	bsb10314207	99	Vndanckbar seyn .	ἀχαριείαν
ACHARIEN	bsb10314207	99	Vndanckbar seyn .	ἀχαριέν
ACHARIS	bsb10314207	95	Vnangenem .	ἄχαρις
ACHARISEIN	bsb10314207	99	Vndanckbar seyn .	αχαρισειν
ACHARISENTAS	bsb11762465	360	gen .	ἀχαρισέντας
ACHARISES	bsb11762465	360	gen .	ἀχαρίσες
ACHARISIA	bsb10314207	99	Undanckbarkeit .	ἀχαρισία
ACHARISON	bsb10314207	99	Vndanckbar seyn .	ἀχαρισον
ACHE	bsb11762465	947	weiden .	ἀχε-
ACHEMON	bsb10314207	110	Vngebürlich .	ἀχημον
ACHERON	bsb11762465	676	Hellisch Waffer .	ἀχέρων
ACHETHENAI	bsb10314207	22	Tr	ἀχεθῆναι
ACHETO	bsb10314207	192	Wild .	ἄχετο
ACHINIA	bsb11762465	861	Mangel .	ἀχινία
ACHINOIAS	bsb11762465	470	Fleaf .	άχίνοιας
ACHIOS	bsb10314207	157	Wandeln .	αχίως
ACHLETHAI	bsb11762465	865	Matt machen .	ἄχλεθαι
ACHLROTONEIN	bsb11762465	65	Abschaffen	ἀχλροτονεῖν
ACHNES	bsb10314207	210	Wüftc .	ἀχνης
ACHO	bsb11762465	325	Dohn / Laut .	ἀχώ
ACHOLIA	bsb11762465	385	C. Labor , & labosudor	ἀχολία
ACHOLIAN	bsb11762465	172	ten .	ἀχολίαν
ACHOLO	bsb11762465	558	Gefchefftig .	ἄχολο
ACHORIZEIN	bsb11762465	66	Abfondern .	αχωρίζειν
ACHOUFN	bsb11762465	211	Betrübt seyn .	ἀχούφν
ACHOUN	bsb10314207	60	Verklagter .	ἀχουν
ACHOUPHN	bsb11762465	211	Betrübt seyn .	ἀχούφν
ACHRA	bsb11762465	557	Be	αχρα-
ACHRANTO	bsb11762465	543	Geleutert Gold .	ἄχραντο
ACHRAS	bsb11762465	1037	Scheuflich .	αχράς
ACHREIO	bsb11762465	159	Båwrisch .	ἀχρεῖο
ACHRIS	bsb11762465	83	M	ἄχρις
ACHROS	bsb10314207	106	Vnehrlich .	αχρὸς
ACHTHEATHZ	bsb11762465	211	Betrübt seyn .	ἄχθεαθζ
ACHTHEAZ	bsb10314207	22	Tr	ἄχθεαζ
ACHTHEEIN	bsb11762465	200	Beschuldigen .	ἀχθέειν
ACHTHEINOS	bsb11762465	109	Arbeitsam .	ἀχθεινός
ACHTHEPENE	bsb11762465	940	fein .	ἀχθεπήνη
ACHTHETHAI	bsb11762465	894	Mi	ἄχθεθαι
ACHTHIMTHMON	bsb11762465	458	de Citieren .	ἀχθίμθμον
ACHTHO	bsb11762465	155	Bangigkeit .	ἄχθο
ACHTHOMAI	bsb11762465	727	glücks gewohnt .	ἄχθομαι
ACHTHOMENOU	bsb11762465	211	Be	ἀχθόμενου
ACHTHOMENU	bsb11762465	211	Be	ἀχθόμενου
ACHTHOS	bsb11762465	108	Arbeit .	ἄχθος
ACHTHOSTONE	bsb11762465	808	Angst .	άχθοστωνη
ACHUFN	bsb11762465	211	Betrübt seyn .	ἀχούφν
ACHUN	bsb10314207	60	Verklagter .	ἀχουν
ACHUPHN	bsb11762465	211	Betrübt seyn .	ἀχούφν
ACHURON	bsb11762465	790	Cicer . Palca , acusaceris ,	ἄχυρον
ACHYN	bsb11762465	729	chen Magen .	ἀχὺν
ACHYRON	bsb11762465	790	Cicer . Palca , acusaceris ,	ἄχυρον
ACIA	bsb10314207	192	Wi	ἀκιά
ACIBDELO	bsb11762465	543	Geleutert Gold .	ἀκίβδηλο
ACIBDELON	bsb11762465	903	Munke .	ἀκίβδηλον
ACIDOTON	bsb11762465	249	Bolk / Pfeil .	ἀκίδωτον
ACIN	bsb11762465	485	Fr	ἀκίν-
ACINAS	bsb11762465	1026	Schamhafftig .	ἀκίνας
ACINDCUSUEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDCUSYEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDCYSUEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDCYSYEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDEODUEIN	bsb11762465	890	Item :	ακινδεωδύειν
ACINDEODYEIN	bsb11762465	890	Item :	ακινδεωδύειν
ACINDKUSUEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDKUSYEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDKYSUEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDKYSYEIN	bsb11762465	442	Fa	ακινδκυσύειν
ACINDUNA	bsb11762465	1011	Ruhiges leben .	ἀκίνδυνα
ACINDUNON	bsb11762465	1011	Ruhiges leben .	ἀκίνδυνον
ACINDUNOS	bsb11762465	1094	Sicher .	ἀκίνδυνος
ACINDYNA	bsb11762465	1011	Ruhiges leben .	ἀκίνδυνα
ACINDYNON	bsb11762465	1011	Ruhiges leben .	ἀκίνδυνον
