form	volume	scan	headword_ocr	printed
aliqui	bsb11762465	968	Predigstul / Cankel .	aliqui
aliquid	bsb10314207	54	Vergessen .	aliquid
aliquo	bsb10314207	165	Weg senden .	aliquo
aliquot	bsb11762465	830	Leihen .	aliquot
alis	bsb11762465	475	Fliegen .	alis
alitſuth	bsb11762465	490	Fr	alitſuth
alix	bsb10314207	169	Weiden .	alix
alkal	bsb11762465	742	Il ) Egel	alkal
alken	bsb11762465	293	Darumb . D	alken
alkut	bsb10314207	5	Za	alkut
alle	bsb10314207	184	Wi	alle
aller	bsb10314207	253	Zu Stuel gehen .	aller
alleuates	bsb11762465	1138	St	alleuates
alleure	bsb11762465	665	He	alleure
alluph	bsb10314207	148	Item :	alluph
almah	bsb11762465	1058	Sch	almah
almanah	bsb10314207	190	Widwe .	almanah
almuth	bsb10314207	151	Wachsen .	almuth
alpaph	bsb10314207	252	Acker .	alpaph
alterare	bsb11762465	379	Endern .	alterare
alterutrum	bsb11762465	369	tereinander .	alterutrum
altfel	bsb11762465	99	Angel . Fischhamel .	altfel
alukah	bsb11762465	347	Egel / Eile .	alukah
aluus	bsb11762465	770	Ke	aluus
alym	bsb11762465	655	Handbüschel .	alym
alymma	bsb11762465	273	Bu	alymma
amad	bsb10314207	57	Verharren .	amad
amal	bsb10314207	52	Ve	amal
amalgadol	bsb11762465	636	Gros arbeit .	amalgadol
amans	bsb11762465	124	Auffrecht .	amans
amar	bsb11762465	142	fprechen .	amar
amarah	bsb11762465	982	Rede ..	amarah
amarulentus	bsb11762465	230	Bitter .	amarulentus
amas	bsb11762465	179	Zeladen .	amas
amator	bsb11762465	842	Liebhaber .	Amator
amicabilitas	bsb11762465	487	Freundligkeit .	amicabilitas
amicus	bsb11762465	842	Liebhaber .	amicus
amir	bsb11762465	115	Aft / Zweig .	amir
amith	bsb11762465	889	Mitgesell .	amith
amithim	bsb11762465	561	Gesellen .	amithim
amittere	bsb11762465	144	Aufschicken .	amittere
ammah	bsb11762465	96	Anderthalb schuch .	ammah
ammal	bsb11762465	374	Cubitus , & cubitum , vlna ,	ammal
ammits	bsb11762465	1126	Starck .	ammits
ammud	bsb11762465	536	Ge	ammud
amnam	bsb10314207	159	Warlich .	amnam
amok	bsb10314207	13	Tieff .	amok
amoris	bsb11762465	814	Kuh	amoris
amoth	bsb11762465	284	Corallen .	amoth
amplitudo	bsb11762465	867	Mechtigkeit .	amplitudo
amthachath	bsb11762465	1013	Sack .	amthachath
amuth	bsb11762465	757	Jugende .	amuth
anach	bsb11762465	236	Bleywage .	anach
anachah	bsb11762465	1091	Scuffkung .	anachah
