volume	scan	headword_ocr	token
bsb10314207	65	Vermågen .	iachol
bsb10314207	65	Vermüglich .	achol
bsb10314207	65	Vermüglich .	abhir
bsb10314207	65	Vermüglich .	gibbor
bsb10314207	65	Vermüglich .	cabhad
bsb10314207	65	Vermüglich .	iccholeth
bsb10314207	65	Vermüglich .	gebhurab
bsb10314207	65	Vermüglich .	choach
bsb10314207	65	Vernichtigen .	niets
bsb10314207	65	Vernichtigen .	badfah
bsb10314207	65	Vernunfft .	taam
bsb10314207	65	Vernunfft .	efchbon
bsb10314207	65	Vernunfft .	efchbon
bsb10314207	66	Vernünfftig .	chocheb
bsb10314207	66	Vernünfftig .	mafcil
bsb10314207	66	Verpflicht .	chaibh
bsb10314207	66	Verpflichten .	chiiebh
bsb10314207	66	Verpichen .	caphar
bsb10314207	67	Verrchter .	megalleh
bsb10314207	67	Versagen .	men
bsb10314207	68	Verschämen .	hebiſch
bsb10314207	68	Mensch .	noads
bsb10314207	68	Mensch .	ads
bsb10314207	68	Mensch .	ads
bsb10314207	69	Verschaffen .	afah
bsb10314207	69	Verschaffen .	paal
bsb10314207	69	Versch .	rah
bsb10314207	71	Verschleiffen .	dachch
bsb10314207	71	Verschlucken .	iccel
bsb10314207	71	Verschlucken .	bala
bsb10314207	72	Verschlinden .	bala
bsb10314207	72	Verschlinden .	Græc
bsb10314207	72	Verschlindung .	thom
bsb10314207	72	Verschnittener .	faris
bsb10314207	72	Verschonen .	chamal
bsb10314207	73	Verschwinden .	Grac
bsb10314207	73	Verseken .	dfathach
bsb10314207	74	Verspotten .	lots
bsb10314207	74	Verspotten .	laag
bsb10314207	74	Ve	lotfets
bsb10314207	74	Versteinigen .	fakal
bsb10314207	74	Versteinigen .	Græc
bsb10314207	75	Aftligere lapidum imbri .	bina
bsb10314207	75	Aftligere lapidum imbri .	tebhurah
bsb10314207	75	Verstehen .	bonchacham
bsb10314207	75	Verstendig .	chacham
bsb10314207	75	Verstendig .	matcil
bsb10314207	75	Verstopffen .	atar
bsb10314207	76	Versonen .	cipper
bsb10314207	76	Versonen .	falach
bsb10314207	76	Versoner .	mechap
bsb10314207	76	Versoner .	fallach
bsb10314207	76	Versónung .	cippur
bsb10314207	76	Versónung .	feli
bsb10314207	76	ren .	Grac
bsb10314207	77	Versuchung .	nilaion
bsb10314207	77	Versucher .	menaffch
bsb10314207	77	Vertilgen .	hischmid
bsb10314207	78	Vertrawen .	batach
bsb10314207	78	Vertrawen .	chaah
bsb10314207	78	haben .	Grx
bsb10314207	78	haben .	batach
bsb10314207	78	Ve	garach
bsb10314207	78	Ve	dachah
bsb10314207	78	Vertreiben .	garaich
bsb10314207	79	Verunreinigen .	timme
bsb10314207	79	Verwandlen .	chalaph
bsb10314207	79	Verwandlen .	haphach
bsb10314207	79	Verwandlung .	tahaphuchah
bsb10314207	79	Verwandter .	abham
bsb10314207	79	Verwandtschafft .	chathanuth
bsb10314207	79	Verwandtschafft .	mifchdachah
bsb10314207	80	Verwechseln .	hecheliph
bsb10314207	80	Verwerffen .	gal
bsb10314207	81	Verwickeln .	fabhach
bsb10314207	81	Verwickelt .	fabuch
bsb10314207	81	Verwicklung .	febhach
bsb10314207	81	Verwüsten .	fchafa
bsb10314207	81	Verwüsten .	ſchadah
bsb10314207	81	Verwunden .	pata
bsb10314207	81	Verwunden .	machats
bsb10314207	81	Verwunden .	dakar
bsb10314207	82	Verwundern .	tamam
bsb10314207	82	Verwundern .	chamah
bsb10314207	82	Verwunderung .	tim
bsb10314207	82	De	chyllal
bsb10314207	82	Verzagen .	aach
bsb10314207	82	Verzagt .	patch
bsb10314207	83	Verzeihung .	miffio
bsb10314207	83	Verzeihung .	chemlah
bsb10314207	83	Veftigen .	chidſeſek
bsb10314207	84	Vfer / Gcftadt .	pagado
bsb10314207	84	Vich .	behemah
bsb10314207	84	Vich .	bei
bsb10314207	84	Vich .	bei
bsb10314207	84	Vich .	ton
bsb10314207	85	Vichhirt .	boker
bsb10314207	85	Viel .	cabled
bsb10314207	88	Vi	laath
bsb10314207	88	bawm / Rustbawm .	tidhar
bsb10314207	88	Vmb .	fabhibh
bsb10314207	90	Vmbfallen .	naphal
bsb10314207	90	A	hippil
bsb10314207	90	A	migger
bsb10314207	90	Vmbgang .	fabhib
bsb10314207	90	Vmbgang .	labhabh
bsb10314207	90	Vmbgang .	fachat
bsb10314207	90	Vmbgang .	catharatar
bsb10314207	90	Vmbgang .	agal
bsb10314207	90	Vmbgang .	rapharchagag
bsb10314207	91	Vmbkeren ,	haras
bsb10314207	91	Vmbkeren ,	nafach
bsb10314207	91	Vmbhawen .	mol
bsb10314207	91	Vmbhawen .	namal
bsb10314207	92	Vimbreiffen .	haras
bsb10314207	92	Vimbreiffen .	fchibber
bsb10314207	92	Vimbreiffen .	natats
bsb10314207	92	Vmbschliessen .	fatham
bsb10314207	92	Vmbschliessen .	atfam
bsb10314207	92	Vmbschliessen .	tar
bsb10314207	92	Vmbschliessen .	Kaphats
bsb10314207	92	Vmbschliessen .	chalam
bsb10314207	92	Vmbschliessen .	balam
bsb10314207	92	Vmschrenckung .	mesucha
bsb10314207	92	Vmschrenckung .	fugah
bsb10314207	93	Vmb sonst .	chianam
bsb10314207	93	Vmb sonst .	fchaf
bsb10314207	93	Vmb sonst .	scheker
bsb10314207	93	Vmbwenden .	haphach
bsb10314207	96	Inbarmherzig .	achdar
bsb10314207	96	Inbarmherzig .	Kafcheh
bsb10314207	96	Vnbefleckt .	tamim
bsb10314207	96	Vnbefleckt .	tahor
bsb10314207	97	Onbestendig .	metaltel
bsb10314207	98	Inbetrieglich .	tamim
bsb10314207	98	Inbetrieglich .	pethi
bsb10314207	98	Inbetrieglich .	tahor
bsb10314207	98	Inbetriegligkeit .	tom
bsb10314207	98	Inbetriegligkeit .	rohar
